ID,Document ID,Base ID,Locale,Level,Topic,Question,Option A,Option B,Option C,Option D,Correct,Explanation,Created At,Published At,Created By
24030,"M7A8WGH4TbKNaAeC","astro_00001",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25030,"MDbR4tdBhQo_Do-4","astro_00001",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25530,"zTroK9M7XAPt5rkK","astro_00001",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24530,"Q85bHXo8HWaSTQcc","astro_00001",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24031,"oa1-dCRIdIyA4Bt4","astro_00002",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25031,"z7jo5uvH0TfPXCKM","astro_00002",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25531,"trNirCy5_GgBEtLo","astro_00002",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24531,"QXBRgahzTWNunwDV","astro_00002",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24032,"zcwe7K9aijmU8QjP","astro_00003",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25032,"XSGAiHR_iXvyJy5c","astro_00003",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25532,"uZIl1zzHh9H3RNFx","astro_00003",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24532,"R9JLWZeBFfzn_gHC","astro_00003",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24033,"vSleuw0Rzie9cbD7","astro_00004",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25033,"xoRticS8k0DvAWbx","astro_00004",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25533,"rGX620Mzu-aX4Z6n","astro_00004",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24533,"ll5b-Ntl7V9KBqgq","astro_00004",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24034,"oHfZIUQnU4xBBnf5","astro_00005",en,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
25034,"XBe6cyKpJZtol2h_","astro_00005",es,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
25534,"GOGrVMjQrLepl37w","astro_00005",fr,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
24534,"NEwek3sdTndNE6Mr","astro_00005",pt,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
24035,"wUc_PICruAr_-X-c","astro_00006",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25035,"gH2rL7rqlXrIRmId","astro_00006",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25535,"gJ48jdwVyv5csX7n","astro_00006",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24535,"sHGEnnudBYVQsZuE","astro_00006",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24036,"2Xj3ePSNGv6ZAXfC","astro_00007",en,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
25036,"_yZ_a1Nl_xdhMOOZ","astro_00007",es,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
25536,"NNCOQXvSH-vhqBJE","astro_00007",fr,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
24536,"aos77XxOlGMcNdGM","astro_00007",pt,1,"Galaxies & Cosmology","What galaxy type is this image?","Elliptical","Barred spiral","Irregular","Ring",B,"Bar plus arms indicates barred spiral.",1767615387183,1767615387183,1
24037,"tW7XHKwyKhe8Ucis","astro_00008",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25037,"wZ5xmSWaJ72ccd5k","astro_00008",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25537,"nS-vKIv0VbMzGxNl","astro_00008",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24537,"aw-pmRJbzbSQs0sc","astro_00008",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24038,"E9-vbYJI_loDuiKh","astro_00009",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25038,"fBbhwoCHl_J1xIdH","astro_00009",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25538,"nu7J4sPVHrxsJPv6","astro_00009",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24538,"fS4vwoZ_wAWM6rGf","astro_00009",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24039,"2D1EO4Q6EZx2fPMT","astro_00010",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25039,"tggiXqS9qJxD2D6A","astro_00010",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25539,"o7941oj1o4HF3MED","astro_00010",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24539,"2vI67W_fOYaKK1fk","astro_00010",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24040,"2ckBzQoUIshxb34s","astro_00011",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25040,"JbITXfENI3C4Ng7D","astro_00011",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25540,"K0T32QO5dLbRdR-W","astro_00011",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24540,"MFfLF2lHsVAUY6z9","astro_00011",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24041,"LNCVIpwaJYRTX2Rp","astro_00012",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25041,"wLqJnEJCgpj4YJnM","astro_00012",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25541,"yHUjnTSsw8hK4umA","astro_00012",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24541,"afWKEMUXmoI6oOwq","astro_00012",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24042,"HBAfn3IZz1mAQDYl","astro_00013",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25042,"KCn9TRA36cZLn34i","astro_00013",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25542,"iufqQtllQONnPsdx","astro_00013",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24542,"VEfeKbfsFM9V9M_L","astro_00013",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24043,"X6dfh_ARo7HR8LA2","astro_00014",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25043,"cZe1amRa-k2d50qr","astro_00014",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25543,"j4_7N59qqKwyVkEs","astro_00014",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24543,"Ed_Mwru1X8_GUcrj","astro_00014",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24044,"mjHbfRSMArlSDukf","astro_00015",en,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25044,"2R3ZC0HRERjDZ8u1","astro_00015",es,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
25544,"HHZONZFMaPtHWqW5","astro_00015",fr,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24544,"Yfo7AdgoM8C8umKV","astro_00015",pt,1,"Galaxies & Cosmology","What type of galaxy is the Milky Way?","Elliptical","Spiral","Irregular","Ring",B,"The Milky Way is a barred spiral galaxy.",1767615387183,1767615387183,1
24045,"XWlwUy0OoHqjuqlf","astro_00016",en,2,"Galaxies & Cosmology","What does redshift in galaxies indicate?","Approaching","Rotating","Moving away","Cooling",C,"Redshift shows recessional velocity via Doppler effect.",1767615387183,1767615387183,1
25045,"nUlQXdF_4dPy_AgC","astro_00016",es,2,"Galaxies & Cosmology","What does redshift in galaxies indicate?","Approaching","Rotating","Moving away","Cooling",C,"Redshift shows recessional velocity via Doppler effect.",1767615387183,1767615387183,1
